PartID,accuracy
1300,14
1301,16
4543,16
4738,16
4743,15
4745,16
4767,16
4835,16
5013,13
5023,16
5028,5
5035,14
5039,15
5062,11
5082,12
5115,16
5133,16
5136,12
5141,13
5145,14
5153,15
5160,16
5166,15
5168,12
5173,16
5174,10
5185,15
5223,16
5238,14
5256,16
5261,15
5265,16
5285,16
5290,13
5312,10
5345,12
5349,14
5402,14
5406,11
5412,16
5413,15
5428,15
6003,9
6102,13
ABCD_1702,16
ABCD_1703,15
ABCD_1704,16
ABCD_1705,16
ABCD_1706,16
ABCD_1708,16
ABCD_1709,16
ABCD_1710,15
ABCD_1711,16
ABCD_1714,11
ABCD_1716,16
ABCD_1718,16
ABCD_1720,16
ABCD_1721,15
ABCD_1722,13
ABCD_1724,16
ABCD_1725,16
ABCD_1726,16
ABCD_1727,16
ABCD_1728,16
ABCD_1729,16
ABCD_1730,16
ABCD_1732,16
ABCD_1734,16
ABCD_1735,16
ABCD_1736,16
ABCD_1739,16
ABCD_1740,15
ABCD_1742,16
ABCD_1745,15
ABCD_1747,15
ABCD_1749,12
ABCD_1751,14
ABCD_1752,16
ABCD_1753,16
ABCD_1754,16
ABCD_1756,15
ABCD_1758,16
ABCD_1760,16
ABCD_1763,16
ABCD_1764,16
ABCD_1767,16
ABCD_1768,16
ABCD_1774,11
ABCD_1778,16
ABCD_1782,16
ABCD_1783,13
ABCD_1784,16
ABCD_1786,16
ABCD_1788,15
ABCD_1790,16
ABCD_1792,16
ABCD_1794,16
ABCD_1795,16
ABCD_1798,16
READ_4150,15
READ_4521,12
READ_6001,11
READ_6101,11
READER_001,11
READER_003,15
READER_005,12
READER_007,16
READER_010,15
READER_011,11
READER_017,16
READER_018,12
READER_019,11